DesignIndex,RadiusSetId,RadiusSet_um,TargetFillFactor,MinDistanceFactor,Seed,IslandCount,ActualFillFactor,TopKPeakRatio,PeakBackgroundRatioPenalty,HazeRisk,HazeRiskPenalty,Objective
68,1,[1 1.5],0.4,1,8,744,0.3812451171875,0.599571435882133,0.211448517121189,0.134803124247878,0.000827727271472976,0.677717053231914
98,1,[1 1.5],0.45,1,8,745,0.3819482421875,0.599571435882133,0.211448517121189,0.134803124247878,0.000827727271472976,0.677717053231914
40,1,[1 1.5],0.35,1,10,701,0.349287109375,0.60999281659179,0.183302587669933,0.137879541425299,0.0010142101952668,0.679219773252601
67,1,[1 1.5],0.4,1,7,745,0.376796875,0.603673277138974,0.197600219072965,0.142174439008677,0.00130621268628771,0.67936441724595
97,1,[1 1.5],0.45,1,7,746,0.37749755859375,0.603673277138974,0.197600219072965,0.142174439008677,0.00130621268628771,0.67936441724595
1,1,[1 1.5],0.3,1,1,590,0.29914306640625,0.615480858460748,0.156213644828771,0.153420014307737,0.00224554102066952,0.681383339254165
243,3,[0.8 1.2 1.6 2],0.3,1,3,418,0.29304443359375,0.622048701654337,0.123325722681426,0.168681231212699,0.00392481660079993,0.684836787596836
273,3,[0.8 1.2 1.6 2],0.35,1,3,419,0.294287109375,0.622048701654337,0.123325722681426,0.168681231212699,0.00392481660079993,0.684836787596836
303,3,[0.8 1.2 1.6 2],0.4,1,3,419,0.294287109375,0.622048701654337,0.123325722681426,0.168681231212699,0.00392481660079993,0.684836787596836
333,3,[0.8 1.2 1.6 2],0.45,1,3,421,0.29589599609375,0.622048701654337,0.123325722681426,0.168681231212699,0.00392481660079993,0.684836787596836
128,2,[0.8 1.2 1.8],0.3,1,8,512,0.27390869140625,0.621521125750944,0.142635305961269,0.157940811317085,0.00269443390626227,0.6849156523687
158,2,[0.8 1.2 1.8],0.35,1,8,515,0.27451171875,0.621521125750944,0.142635305961269,0.157940811317085,0.00269443390626227,0.6849156523687
188,2,[0.8 1.2 1.8],0.4,1,8,516,0.27496337890625,0.621521125750944,0.142635305961269,0.157940811317085,0.00269443390626227,0.6849156523687
218,2,[0.8 1.2 1.8],0.45,1,8,516,0.27496337890625,0.621521125750944,0.142635305961269,0.157940811317085,0.00269443390626227,0.6849156523687
5,1,[1 1.5],0.3,1,5,580,0.2990869140625,0.621571508843536,0.149570169838521,0.153163078744256,0.00222125615360866,0.685027349055062
2,1,[1 1.5],0.3,1,2,594,0.299150390625,0.614885178505901,0.171213093253179,0.152424637854746,0.00215219570864256,0.685570739687726
37,1,[1 1.5],0.35,1,7,691,0.3493408203125,0.612333236321154,0.191785547073545,0.143142160212742,0.0013770990872936,0.686343673233363
309,3,[0.8 1.2 1.6 2],0.4,1,9,414,0.28581787109375,0.618565044119336,0.126658135477048,0.174655540758421,0.00470907032660358,0.686440743169321
339,3,[0.8 1.2 1.6 2],0.45,1,9,414,0.28581787109375,0.618565044119336,0.126658135477048,0.174655540758421,0.00470907032660358,0.686440743169321
36,1,[1 1.5],0.35,1,6,690,0.34911865234375,0.611583876239882,0.196630260934628,0.142874345194945,0.00135729396414166,0.68719093738771
121,2,[0.8 1.2 1.8],0.3,1,1,522,0.29568359375,0.621235447628421,0.142509944657678,0.162839477292969,0.00322699012269012,0.687248878872059
151,2,[0.8 1.2 1.8],0.35,1,1,522,0.29568359375,0.621235447628421,0.142509944657678,0.162839477292969,0.00322699012269012,0.687248878872059
181,2,[0.8 1.2 1.8],0.4,1,1,522,0.29568359375,0.621235447628421,0.142509944657678,0.162839477292969,0.00322699012269012,0.687248878872059
211,2,[0.8 1.2 1.8],0.45,1,1,524,0.29633544921875,0.621235447628421,0.142509944657678,0.162839477292969,0.00322699012269012,0.687248878872059
66,1,[1 1.5],0.4,1,6,735,0.37143798828125,0.609132066159167,0.205799369666764,0.141395676629879,0.00125052777560493,0.687414484420559
96,1,[1 1.5],0.45,1,6,736,0.37214599609375,0.609132066159167,0.205799369666764,0.141395676629879,0.00125052777560493,0.687414484420559
10,1,[1 1.5],0.3,1,10,600,0.29955322265625,0.618743012058877,0.175598551074158,0.144084778549614,0.00144794740301478,0.687442241949906
182,2,[0.8 1.2 1.8],0.4,1,2,508,0.28199462890625,0.619393604760399,0.146264865005975,0.164957102862129,0.00347206468995186,0.68794663096225
